FilePath,FileName,SizeBytes,SizeKB,Entropy,MD5,SHA1,SHA256,ImportHash,MagicNumber,FileType,Permissions,PETimestamp,PETimestamp-year,CompilerLanguage,DigitalSignature,PEHeaderOffset,EntryPoint,Packer
C:\Users\adria\Documents\_malware\0004b6ce277aa1a259359ee0400bf7cb3f2aafdeeae291f0be2a3750b0c87ee2.exe,0004b6ce277aa1a259359ee0400bf7cb3f2aafdeeae291f0be2a3750b0c87ee2.exe,409600,400,7.6829,4b2e2151417f8c2b8001d274c3dfbc8b,52486dc78083f5d67da3d0a4aa2640c5b31a4ee9,0004b6ce277aa1a259359ee0400bf7cb3f2aafdeeae291f0be2a3750b0c87ee2,09c5c1527766cacfa084bdc8577c6a42,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2012-07-16 21:43:02 UTC (OK),2012,Unknown (Language: Unknown),Unsigned,224 (0xE0),RVA=0x18B8; VA=0x4018B8,Likely packed (avg=6.24; flags=.rsrc:high)
C:\Users\adria\Documents\_malware\002d72a4eb8f8e2aaea0efd51128afaf0d291b9483dc68b5caebe924551613bd.exe,002d72a4eb8f8e2aaea0efd51128afaf0d291b9483dc68b5caebe924551613bd.exe,475136,464,7.3012,24101b89e4b05e386c99c66812e10b45,422745f7e9fabda98d7065629580b0ece0312792,002d72a4eb8f8e2aaea0efd51128afaf0d291b9483dc68b5caebe924551613bd,48a460c176b5c11c2a0bcbacd6a43e9d,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2012-04-14 11:58:27 UTC (OK),2012,Unknown (Language: Unknown),Unsigned,224 (0xE0),RVA=0x1C31; VA=0x411C31,"Likely packed (avg=5.91; flags=.rdata:high,.rsrc:high)"
C:\Users\adria\Documents\_malware\003ad42cc2b8210c65926c6fe37007d4920d0f8a8896f85e07bcfd0454b22b90.exe,003ad42cc2b8210c65926c6fe37007d4920d0f8a8896f85e07bcfd0454b22b90.exe,378880,370,7.8794,597dcc47066ac8fe5a51e1a953db4ed0,ce93bdddd88180384d5ea4c58f7e6b10fe922122,003ad42cc2b8210c65926c6fe37007d4920d0f8a8896f85e07bcfd0454b22b90,ef35b1c42ca0fcd6b62e6c28ff53ebab,4D5A500002000000,Windows Executable (MZ),'-rwxrwxrwx,2012-01-18 07:21:34 UTC (OK),2012,Unknown (Language: Unknown),Unsigned,124 (0x7C),RVA=0x1624; VA=0x401624,Likely packed (avg=4.59; flags=.rsrc:high)
C:\Users\adria\Documents\_malware\004d1a1c4eeda210045e8ca9857a1d1a8d719edd5506131cc279b3f7fdbf7b61.exe,004d1a1c4eeda210045e8ca9857a1d1a8d719edd5506131cc279b3f7fdbf7b61.exe,435712,425.5,7.8576,0e0aed197c9d36e798e38bf2e672ec6f,78c2dacfb7455c2dc7cf965846347cb24a727795,004d1a1c4eeda210045e8ca9857a1d1a8d719edd5506131cc279b3f7fdbf7b61,0ae3b353f19671a22f344b6f294f43e5,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2008-06-22 05:08:22 UTC (OK),2008,Unknown (Language: Unknown),Unsigned,616 (0x268),RVA=0x68C3E; VA=0x78C3E,Likely packed (avg=4.81; flags=.rdata:high)
C:\Users\adria\Documents\_malware\01a0bea806384827759ae032031516bfe843285cac39800bdd1845e36cb5f003.exe,01a0bea806384827759ae032031516bfe843285cac39800bdd1845e36cb5f003.exe,421888,412,7.7359,4f105bf3461951a61a770ff1c9577107,c195259ec09269da918a9e612f1b537081b8aff3,01a0bea806384827759ae032031516bfe843285cac39800bdd1845e36cb5f003,2144d214508ec45f43113a3882bfaef9,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2012-04-04 20:13:29 UTC (OK),2012,Unknown (Language: Unknown),Unsigned,232 (0xE8),RVA=0x16F1; VA=0x4116F1,"Likely packed (avg=7.26; flags=.data:high,.rdata:high)"
C:\Users\adria\Documents\_malware\01c523806af6f32b6e6b4ca59349d3e2d6f0c217719cb051e9c0b58d0af1fbec.exe,01c523806af6f32b6e6b4ca59349d3e2d6f0c217719cb051e9c0b58d0af1fbec.exe,402432,393,7.9756,02b286b3b907d5398b459c6f50af6eb6,6d028bbf0430941eca041123e4978f89d9160830,01c523806af6f32b6e6b4ca59349d3e2d6f0c217719cb051e9c0b58d0af1fbec,499bc9212584f3a32afc78d24371a530,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2011-10-25 19:34:24 UTC (OK),2011,Unknown (Language: Unknown),Unsigned,64 (0x40),RVA=0xC0BFC; VA=0x4D0BFC,Unpacked
C:\Users\adria\Documents\_malware\01c1a9179258495d08e017d721fc82c7fa8e09f29fa34411b590763e14312dc5.exe,01c1a9179258495d08e017d721fc82c7fa8e09f29fa34411b590763e14312dc5.exe,368640,360,7.691,7dd049f6419fe15783bee85ded6dc5f3,0cedd1d3ac077912f8a7b286aa667f29996e7a6c,01c1a9179258495d08e017d721fc82c7fa8e09f29fa34411b590763e14312dc5,3f76a097f695416a7539495839e602a9,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2012-03-16 21:02:01 UTC (OK),2012,Unknown (Language: Unknown),Unsigned,224 (0xE0),RVA=0x1445F; VA=0x42445F,"Likely packed (avg=7.04; flags=.data:high,.rsrc:high,.text:high)"
C:\Users\adria\Documents\_malware\01ca2135cdc41c49a873dbcb4299658480b85475b43ca56c66be7bc1c1886ff4.exe,01ca2135cdc41c49a873dbcb4299658480b85475b43ca56c66be7bc1c1886ff4.exe,208896,204,6.3944,060188d2f8b1e02de51a406e2bbad912,8d00c38fbc6075c3869a36ccbfc546dba253fa62,01ca2135cdc41c49a873dbcb4299658480b85475b43ca56c66be7bc1c1886ff4,e1a40ba9d45909fa55df20114f7d2cd2,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2012-04-07 00:24:14 UTC (OK),2012,Unknown (Language: Unknown),Unsigned,264 (0x108),RVA=0x12FAA; VA=0x64012FAA,Unpacked
C:\Users\adria\Documents\_malware\01a795638fe5829264455b8efe4c1dbb52d74b8fadf17c9af965c0f302be627c.exe,01a795638fe5829264455b8efe4c1dbb52d74b8fadf17c9af965c0f302be627c.exe,421888,412,7.6641,03d3825906e4ad8e2b39764bd101f1a5,97453f2ca65fb2b0db43f4209a4e0c71eb1b4832,01a795638fe5829264455b8efe4c1dbb52d74b8fadf17c9af965c0f302be627c,573616b715e72919bc7d95ffe12779f8,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2012-08-02 19:25:12 UTC (OK),2012,Unknown (Language: Unknown),Unsigned,224 (0xE0),RVA=0x15F0; VA=0x4015F0,Likely packed (avg=4.84; flags=.rdata:high)
C:\Users\adria\Documents\_malware\01ee2848c090117507ee8bbad74a35c5aa703483582bade9e0ebd0f017fc8e32.exe,01ee2848c090117507ee8bbad74a35c5aa703483582bade9e0ebd0f017fc8e32.exe,402432,393,7.9754,5dded4402712c827a86255ca64aaf170,be2f18cdb0d31599a590a17b053da11e45f0493c,01ee2848c090117507ee8bbad74a35c5aa703483582bade9e0ebd0f017fc8e32,a4a6c78974b90e00c2426f76f11b0230,4D5A900003000000,Windows Executable (MZ),'-rwxrwxrwx,2011-10-25 19:34:24 UTC (OK),2011,Unknown (Language: Unknown),Unsigned,64 (0x40),RVA=0xC0BF0; VA=0x4D0BF0,Unpacked
